"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01-03-2024","12.7377","12.6797","12.7623","12.6503","","0.46%"
"29-02-2024","12.6797","12.6632","12.6974","12.5957","","0.13%"
"28-02-2024","12.6632","12.7888","12.8171","12.6598","","-0.98%"
"27-02-2024","12.7888","12.8339","12.8341","12.7594","","-0.35%"
"26-02-2024","12.8339","12.9035","12.9481","12.7579","","-0.54%"
"25-02-2024","12.9035","12.9035","12.9035","12.9035","","0.00%"
"23-02-2024","12.9035","12.9058","12.9135","12.8977","","-0.02%"
"22-02-2024","12.9058","12.8724","12.9688","12.8000","","0.26%"
"21-02-2024","12.8724","12.8399","12.8798","12.8303","","0.25%"
"20-02-2024","12.8399","12.8279","12.8742","12.8114","","0.09%"
"19-02-2024","12.8279","12.8201","12.8670","12.7843","","0.06%"
"18-02-2024","12.8201","12.8201","12.8201","12.8201","","0.00%"
"16-02-2024","12.8201","12.8239","12.9220","12.8119","","-0.03%"
"15-02-2024","12.8239","12.7064","12.8590","12.6964","","0.92%"
"14-02-2024","12.7064","12.6922","12.7390","12.6818","","0.11%"
"13-02-2024","12.6922","12.6932","12.7014","12.6549","","-0.01%"
"12-02-2024","12.6932","12.6362","12.7112","12.6223","","0.45%"
"11-02-2024","12.6362","12.6362","12.6362","12.6362","","0.00%"
"09-02-2024","12.6362","12.6238","12.6687","12.5798","","0.10%"
"08-02-2024","12.6238","12.6849","12.7095","12.6137","","-0.48%"
"07-02-2024","12.6849","12.6848","12.7005","12.6183","","0.00%"
"06-02-2024","12.6848","12.5825","12.6848","12.5714","","0.81%"
"05-02-2024","12.5825","12.6590","12.7128","12.5195","","-0.60%"
"04-02-2024","12.6590","12.6590","12.6590","12.6590","","0.00%"
"02-02-2024","12.6590","12.5996","12.7139","12.5943","","0.47%"
"01-02-2024","12.5996","12.5587","12.5999","12.5071","","0.33%"
"31-01-2024","12.5587","12.5024","12.5587","12.4582","","0.45%"
"30-01-2024","12.5024","12.3909","12.5067","12.3528","","0.90%"
"29-01-2024","12.3909","12.5028","12.5607","12.3776","","-0.90%"
"28-01-2024","12.5028","12.5028","12.5028","12.5028","","0.00%"
"26-01-2024","12.5028","12.3983","12.5170","12.3816","","0.84%"
"25-01-2024","12.3983","12.3879","12.4481","12.3362","","0.08%"
"24-01-2024","12.3879","12.3653","12.3957","12.2848","","0.18%"
"23-01-2024","12.3653","12.2066","12.3653","12.2055","","1.30%"
"22-01-2024","12.2066","12.2612","12.3061","12.1939","","-0.45%"
"21-01-2024","12.2612","12.2612","12.2612","12.2612","","0.00%"
"19-01-2024","12.2612","12.3744","12.4225","12.2601","","-0.92%"
"18-01-2024","12.3744","12.3606","12.4572","12.3075","","0.11%"
"17-01-2024","12.3606","12.2168","12.3679","12.2070","","1.18%"
"16-01-2024","12.2168","12.2149","12.3724","12.1727","","0.02%"
"15-01-2024","12.2149","12.3344","12.3371","12.1778","","-0.97%"
"14-01-2024","12.3344","12.3344","12.3344","12.3344","","0.00%"
"12-01-2024","12.3344","12.3583","12.3753","12.2822","","-0.19%"
"11-01-2024","12.3583","12.4562","12.4866","12.3428","","-0.79%"
"10-01-2024","12.4562","12.5403","12.5524","12.4212","","-0.67%"
"09-01-2024","12.5403","12.7406","12.8079","12.4274","","-1.57%"
"08-01-2024","12.7406","12.7360","12.7989","12.6314","","0.04%"
"07-01-2024","12.7360","12.7360","12.7360","12.7360","","0.00%"
"05-01-2024","12.7360","12.7569","12.7958","12.7091","","-0.16%"
"04-01-2024","12.7569","12.8663","12.9166","12.7353","","-0.85%"
"03-01-2024","12.8663","12.6482","12.8663","12.6316","","1.72%"
"02-01-2024","12.6482","12.7270","12.7270","12.6480","","-0.62%"
"01-01-2024","12.7270","12.7270","12.7270","12.7270","","0.00%"
